Player Name,guess rate,usefulness,avg diff,erigs,avg /8 correct,OP guess rate,,
provenance,26.429,5.013,27.88,2,4.514,26.429,0,0
Swapin,24.37,3.877,30.936,2,4.724,24.37,0,0
SaikiChan,23.711,5.09,28.31,2,4.174,23.711,0,0
mahzrunner,21.429,2.929,29.538,1,4.933,21.429,0,0
Jakemonkey,20.168,2.53,31.267,0,4.958,20.168,0,0
Janoxx,19.266,3.786,25.58,0,4.143,19.266,0,0
Progenitor,18.557,2.823,31.702,0,4.833,18.557,0,0
ss_r_white_pony,17.526,3.442,27.127,1,4.412,17.526,0,0
Flato,16.514,2.631,30.537,0,4.722,16.514,0,0
Gokozinho,16.129,3.189,28.048,0,4.067,16.129,0,0
miiarad,16,2.565,31.022,0,4.45,16,0,0
Serozero,14.4,3.319,26.024,2,3.944,14.4,0,0
Naizuri,11.966,1.455,33.844,0,5.071,11.966,0,0
mitsorubi,11.364,1.344,32.651,0,5.2,11.364,0,0
legrandort,7.527,1.018,29.214,0,4.714,7.527,0,0
Rhummy,5.128,1.452,35.11,1,3.667,5.128,0,0
,,,,,,,,
2025-04-15,,,,,,,,
Miki_Hoshii,79.231,20.599,28.166,6,4.117,79.231,0,0
BeakoLovely,75.61,24.61,28.395,11,3.919,75.61,0,0
Hejsan,73.984,20.937,26.207,9,4,73.984,0,0
iryd,71.429,17.585,26.652,5,4.211,71.429,0,0
Baikinman,69.474,24.431,24.923,10,3.561,69.474,0,0
yahallonyanpasu,65.873,16.282,25.879,3,4.193,65.873,0,0
Thaleko,55.725,11.521,29.105,1,4.685,55.725,0,0
FaLiLV,55.67,16.664,26.803,6,3.722,55.67,0,0
Anoru_,54.206,11.778,30.766,3,4.483,54.206,0,0
comete,52.672,11.971,29.836,6,4.609,52.672,0,0
kar72,50.515,10.807,29.073,0,4.224,50.515,0,0
_nadeshiko,49.533,11.9,29.951,2,4.302,49.533,0,0
Pile,47.561,8.774,33.166,0,4.949,47.561,0,0
753,46.154,7.356,31.084,0,5.017,46.154,0,0
Shuuka,44.086,11.968,28.175,2,4.024,44.086,0,0
Janoxx,39.024,6.732,28.029,2,4.979,39.024,0,0
